Custom label,Item ID,,Purchases,Price,,Pricing 7.8.19,Diff new Pricing & ebay,,,Custom label,Item ID, ,Purchases,Price,Comp or exhaust,Not on 7.8.19 Pricing
GPG220,264395883503,https://www.ebay.co.uk/itm/264395883503,0,£45.17,A,30.92,£14.25,,,G321710,254332168225,https://www.ebay.co.uk/itm/254332168225,0,£92.85,,Not On Price List
GPG494,264399949088,https://www.ebay.co.uk/itm/264399949088,0,£45.42,A,31.7,£13.72,,,G321754,254332168827,https://www.ebay.co.uk/itm/254332168827,0,£196.08,,Not On Price List
GFE946,254297957841,https://www.ebay.co.uk/itm/254297957841,0,£44.36,A,31.3,£13.06,,,G321936,264428332159,https://www.ebay.co.uk/itm/264428332159,0,£163.90,,Not On Price List
GTY531,254294451037,https://www.ebay.co.uk/itm/254294451037,0,£61.17,A,48.17,£13.00,,,G322439PIPE,254350054803,https://www.ebay.co.uk/itm/254350054803,0,£60.80,,Not On Price List
GLR153,264395886833,https://www.ebay.co.uk/itm/264395886833,0,£38.05,A,25.18,£12.87,,,G322660,254376753459,https://www.ebay.co.uk/itm/254376753459,0,£236.37,,Not On Price List
GAU233,254294431461,https://www.ebay.co.uk/itm/254294431461,0,£66.32,A,53.58,£12.74,,,G329017,264428331577,https://www.ebay.co.uk/itm/264428331577,0,£130.90,,Not On Price List
GPG631,264394535541,https://www.ebay.co.uk/itm/264394535541,0,£44.75,A,32.5,£12.25,,,G370001,254328235729,https://www.ebay.co.uk/itm/254328235729,0,£54.90,,Not On Price List
GDH220,254292992397,https://www.ebay.co.uk/itm/254292992397,0,£63.62,A,51.4,£12.22,,,G370002,254328239255,https://www.ebay.co.uk/itm/254328239255,0,£48.10,,Not On Price List
GGM433,254294431331,https://www.ebay.co.uk/itm/254294431331,0,£53.71,A,42.76,£10.95,,,G370003,264428329018,https://www.ebay.co.uk/itm/264428329018,0,£48.10,,Not On Price List
GGM306,264399942765,https://www.ebay.co.uk/itm/264399942765,0,£38.49,A,27.72,£10.77,,,G370005,254328235602,https://www.ebay.co.uk/itm/254328235602,0,£54.90,,Not On Price List
GHA162,264395887207,https://www.ebay.co.uk/itm/264395887207,0,£43.92,A,33.24,£10.68,,,G370007,264428327456,https://www.ebay.co.uk/itm/264428327456,0,£54.90,,Not On Price List
GFE611,264395887975,https://www.ebay.co.uk/itm/264395887975,0,£47.17,A,36.5,£10.67,,,G370008,254328235973,https://www.ebay.co.uk/itm/254328235973,0,£63.29,,Not On Price List
GGM462,264394543503,https://www.ebay.co.uk/itm/264394543503,0,£51.36,A,40.72,£10.64,,,G370009,264428330163,https://www.ebay.co.uk/itm/264428330163,0,£51.90,,Not On Price List
GIZ026,264394529216,https://www.ebay.co.uk/itm/264394529216,0,£54.27,A,43.76,£10.51,,,G370011,254328239480,https://www.ebay.co.uk/itm/254328239480,0,£61.90,,Not On Price List
GFE530,264395888334,https://www.ebay.co.uk/itm/264395888334,0,£40.11,A,29.6,£10.51,,,G370012,264428331705,https://www.ebay.co.uk/itm/264428331705,0,£66.25,,Not On Price List
GMZ525,254297967152,https://www.ebay.co.uk/itm/254297967152,0,£65.55,A,55.06,£10.49,,,G370013,254328236077,https://www.ebay.co.uk/itm/254328236077,0,£38.00,,Not On Price List
GVW330,264394532217,https://www.ebay.co.uk/itm/264394532217,0,£32.91,A,22.52,£10.39,,,G370014,254328241518,https://www.ebay.co.uk/itm/254328241518,0,£64.90,,Not On Price List
G301192,254292985250,https://www.ebay.co.uk/itm/254292985250,0,£35.95,A,25.6,£10.35,,,G370015,254332167684,https://www.ebay.co.uk/itm/254332167684,0,£72.63,,Not On Price List
GDU092,264395892563,https://www.ebay.co.uk/itm/264395892563,0,£81.23,A,71.03,£10.20,,,G370016,254328239251,https://www.ebay.co.uk/itm/254328239251,0,£72.90,,Not On Price List
GRN673,264394538336,https://www.ebay.co.uk/itm/264394538336,0,£46.63,A,36.47,£10.16,,,G370017,254332167951,https://www.ebay.co.uk/itm/254332167951,0,£60.71,,Not On Price List
GPG591,254294429715,https://www.ebay.co.uk/itm/254294429715,0,£32.72,A,22.66,£10.06,,,G370018,254328239580,https://www.ebay.co.uk/itm/254328239580,0,£61.90,,Not On Price List
GHA226,264394533006,https://www.ebay.co.uk/itm/264394533006,0,£45.10,A,35.39,£9.71,,,G370019,264428329517,https://www.ebay.co.uk/itm/264428329517,0,£48.10,,Not On Price List
GHA227,254299065438,https://www.ebay.co.uk/itm/254299065438,0,£42.29,A,32.72,£9.57,,,G370022,254328236596,https://www.ebay.co.uk/itm/254328236596,0,£55.90,,Not On Price List
GPG408,264394530151,https://www.ebay.co.uk/itm/264394530151,0,£37.79,A,28.23,£9.56,,,G370023,264432771350,https://www.ebay.co.uk/itm/264432771350,0,£69.38,,Not On Price List
GFE779,254294435319,https://www.ebay.co.uk/itm/254294435319,0,£21.17,A,11.78,£9.39,,,G370027,264428329839,https://www.ebay.co.uk/itm/264428329839,0,£38.80,,Not On Price List
GFT782,264399944854,https://www.ebay.co.uk/itm/264399944854,0,£39.25,A,29.93,£9.32,,,G370029,264428327639,https://www.ebay.co.uk/itm/264428327639,0,£70.90,,Not On Price List
GCL175,254294427055,https://www.ebay.co.uk/itm/254294427055,0,£59.32,A,50.04,£9.28,,,G370031,264432771116,https://www.ebay.co.uk/itm/264432771116,0,£18.32,,Not On Price List
GFE604,264394535755,https://www.ebay.co.uk/itm/264394535755,0,£39.39,A,30.12,£9.27,,,G370032,264428330992,https://www.ebay.co.uk/itm/264428330992,0,£76.15,,Not On Price List
GFE657,264399942004,https://www.ebay.co.uk/itm/264399942004,0,£45.12,A,35.87,£9.25,,,G370036,254328236452,https://www.ebay.co.uk/itm/254328236452,0,£65.00,,Not On Price List
GDW023,254299068884,https://www.ebay.co.uk/itm/254299068884,0,£45.86,A,36.67,£9.19,,,G370037,254328236551,https://www.ebay.co.uk/itm/254328236551,0,£60.90,,Not On Price List
GCN483,264394552633,https://www.ebay.co.uk/itm/264394552633,0,£41.94,A,32.8,£9.14,,,G370038,254328237764,https://www.ebay.co.uk/itm/254328237764,0,£51.90,,Not On Price List
GGM264,264395889483,https://www.ebay.co.uk/itm/264395889483,0,£38.51,A,29.44,£9.07,,,G370039,254328235863,https://www.ebay.co.uk/itm/254328235863,0,£56.90,,Not On Price List
GGM025,264395882339,https://www.ebay.co.uk/itm/264395882339,0,£37.70,A,28.69,£9.01,,,G370040,254328238950,https://www.ebay.co.uk/itm/254328238950,0,£54.90,,Not On Price List
GGM307,264394536743,https://www.ebay.co.uk/itm/264394536743,0,£21.39,A,12.44,£8.95,,,G370042,264428329614,https://www.ebay.co.uk/itm/264428329614,0,£84.07,,Not On Price List
GDW022,264394539280,https://www.ebay.co.uk/itm/264394539280,0,£38.92,A,30.03,£8.89,,,G370043,254328236331,https://www.ebay.co.uk/itm/254328236331,0,£61.90,,Not On Price List
